"ID";"SportsClubs";"Periods";"TotalNumberOfSportsClubs_1";"LessThan51Members_2";"k_51To100Members_3";"k_101To200Members_4";"k_201To300Members_5";"k_301To400Members_6";"k_401To500Members_7";"MoreThan500Members_8";"AverageNumberOfMembers_9";"AverageNumberOfMembersUnder18Years_10";"SportsClubsWithoutSportsFacility_11";"SportsClubsWithRentedSportsFacility_12";"SportsClubsWithAccommodationOwned_13";"SportHallOrGymnasium_14";"IndoorTennisCourt_15";"OtherIndoorSportsFacility_16";"PitchFieldOrTrack_17";"GolfCourse_18";"OtherOutdoorSportsFacility_19";"OwnershipInDifferentLegalForm_20";"SportsClubsWithClubHouse_21";"SportsClubsWithClubHouseOwned_22";"Employees_23";"EmployedPersonsNotOnPayroll_24";"Employees_25";"Employees_26";"TrainingInstructionMedicalCare_27";"ManagementCommitteesAdministration_28";"MaintenanceCleaningCanteen_29";"OtherWork_30";"SportsClubsWithVolunteers_31";"TotalWorkingHoursVolunteers_32";"SupervisionOfYouthMembers_33";"TrainingCoachingMedicalCare_34";"ManagementCommitteesAdministration_35";"MaintenanceCleaningCanteen_36";"TotalRevenues_37";"MembershipAndTuitionFees_38";"GrantsAndContributions_39";"SponsorshipAndAdvertising_40";"CanteenProceeds_41";"OtherRevenues_42";"TotalCosts_43";"WagesAndSocialCharges_44";"StaffNotOnPayroll_45";"HousingCosts_46";"MaintenanceAndCleaning_47";"CostsOfCanteenPurchases_48";"InterestAndDepreciations_49";"PaymentsToSportsFederations_50";"CostsOfMatchesAndTravelling_51";"OtherCosts_52"
"86";"A045019";"2018JJ00";"    1745";"       7";"      17";"      22";"      14";"      11";"      10";"      20";"     310";"      55";"       2";"      51";"      57";"       0";"       4";"       1";"      56";"       0";"       3";"      14";"      93";"      80";"      15";"      23";"     520";"     210";"      39";"       7";"      53";"       2";"      98";"     126";"      10";"       4";"      51";"      35";"     138";"      54";"       6";"       7";"      29";"       5";"     132";"       6";"       6";"      20";"      12";"      17";"      13";"       7";"       3";"      16"
"87";"A045019";"2020JJ00";"    1700";"       7";"      16";"      23";"      16";"      11";"       9";"      17";"     309";"      53";"      11";"      45";"      50";"       0";"       3";"       0";"      50";"       0";"       4";"       9";"      91";"      77";"      10";"      21";"     350";"     150";"      40";"       5";"      53";"       1";"      97";"     113";"       9";"       4";"      59";"      29";"     126";"      61";"      14";"       6";"      15";"       4";"     116";"       6";"       8";"      22";"      12";"       9";"      15";"       9";"       2";"      17"
"88";"A045020";"2000JJ00";"    1590";"      10";"      22";"      31";"      18";"       8";"       4";"       7";"     225";"       .";"       3";"      89";"      18";"       3";"       0";"       2";"      16";"       0";"       0";"       8";"       .";"       .";"      17";"       .";"     590";"     170";"      59";"       3";"      38";"       0";"      97";"     265";"      26";"      26";"      35";"      13";"      79";"      42";"      11";"      13";"      29";"       5";"      76";"       6";"       8";"      23";"       6";"      17";"       6";"      11";"       8";"      15"
"89";"A045020";"2003JJ00";"    1600";"      13";"      21";"      29";"      15";"       7";"       5";"      10";"     241";"       .";"       3";"      90";"      18";"       3";"       0";"       1";"      15";"       0";"       0";"       7";"       .";"       .";"      17";"       .";"     860";"     270";"      62";"       4";"      32";"       2";"      98";"     280";"      27";"      28";"      33";"      12";"     104";"      42";"      11";"      13";"      29";"       5";"     101";"       9";"       7";"      21";"       7";"      17";"       8";"      10";"       7";"      14"
"90";"A045020";"2006JJ00";"    1530";"      14";"      22";"      33";"      11";"       7";"       3";"       9";"     227";"       .";"       3";"      91";"      14";"       2";"       0";"       1";"      12";"       0";"       0";"       4";"       .";"       .";"      14";"       .";"     870";"     270";"      65";"       5";"      22";"       8";"      96";"     269";"      28";"      28";"      32";"      12";"     104";"      44";"      10";"      17";"      24";"       5";"     101";"      10";"       8";"      22";"       6";"      14";"       7";"      10";"       9";"      14"
"91";"A045020";"2009JJ00";"    1610";"      14";"      21";"      33";"      14";"       4";"       2";"      12";"     250";"       .";"       4";"      86";"      17";"       3";"       0";"       2";"      15";"       0";"       0";"       9";"       .";"       .";"      14";"       .";"    1560";"     510";"      52";"       7";"      16";"      25";"      98";"     272";"      27";"      33";"      30";"      11";"     138";"      47";"      11";"      16";"      21";"       5";"     133";"      12";"      10";"      21";"       5";"      12";"       6";"      11";"      10";"      13"
"92";"A045020";"2012JJ00";"    1600";"      15";"      21";"      30";"      13";"       7";"       2";"      11";"     252";"       .";"       4";"      90";"      13";"       3";"       0";"       2";"      11";"       0";"       0";"       6";"       .";"       .";"      16";"       .";"    1550";"     480";"      56";"       8";"      16";"      20";"      99";"     282";"      27";"      31";"      29";"      12";"     151";"      47";"      10";"      18";"      20";"       4";"     147";"      14";"      12";"      19";"       5";"      12";"       6";"      10";"       9";"      12"
"93";"A045020";"2015JJ00";"    1470";"      17";"      18";"      27";"      12";"      10";"       4";"      12";"     279";"     154";"       6";"      87";"      18";"       2";"       0";"       1";"      15";"       0";"       1";"       9";"      77";"      59";"      19";"      11";"    1420";"     480";"      57";"       8";"      14";"      21";"      96";"     284";"      27";"      34";"      26";"      12";"     152";"      54";"       7";"      13";"      22";"       4";"     146";"      15";"      10";"      20";"       4";"      12";"       6";"      10";"       7";"      15"
"94";"A045020";"2018JJ00";"    1415";"      14";"      17";"      30";"      14";"       7";"       5";"      14";"     291";"     170";"       5";"      90";"      17";"       3";"       0";"       1";"      14";"       0";"       1";"       8";"      78";"      59";"      18";"      18";"    1330";"     490";"      68";"       5";"      17";"      10";"      96";"     296";"      25";"      33";"      32";"       9";"     161";"      55";"       7";"      13";"      21";"       4";"     154";"      15";"      13";"      21";"       4";"      12";"       5";"       9";"       6";"      16"
"95";"A045020";"2020JJ00";"    1380";"      10";"      18";"      28";"      14";"       9";"       5";"      16";"     314";"     175";"       8";"      88";"      13";"       2";"       0";"       1";"      11";"       0";"       1";"       6";"      80";"      58";"      17";"      20";"    1580";"     520";"      65";"       4";"      13";"      18";"      96";"     252";"      24";"      38";"      30";"       8";"     179";"      61";"       8";"      14";"      13";"       4";"     175";"      15";"      16";"      23";"       5";"       7";"       7";"       9";"       4";"      14"
"96";"A045021";"2000JJ00";"    2880";"       3";"       6";"      22";"      20";"      15";"      12";"      22";"     365";"       .";"       1";"      91";"      14";"       2";"       0";"       2";"      12";"       0";"       0";"       2";"       .";"       .";"      73";"       .";"    6360";"    1590";"      74";"       2";"      23";"       0";"      98";"     938";"      35";"      18";"      28";"      20";"     275";"      25";"      10";"      13";"      48";"       4";"     269";"      14";"       5";"      14";"       7";"      26";"       5";"       7";"       7";"      16"
"97";"A045021";"2003JJ00";"    2800";"       3";"       5";"      23";"      20";"      18";"      10";"      20";"     354";"       .";"       1";"      93";"      13";"       2";"       0";"       0";"      11";"       0";"       0";"       2";"       .";"       .";"      73";"       .";"    6040";"    1630";"      73";"       2";"      24";"       1";"      98";"     890";"      34";"      20";"      26";"      21";"     302";"      24";"      11";"      13";"      47";"       4";"     295";"      13";"       5";"      15";"       7";"      25";"       4";"       6";"       9";"      16"
"98";"A045021";"2006JJ00";"    2710";"       2";"       5";"      18";"      22";"      16";"      10";"      27";"     388";"       .";"       1";"      90";"      14";"       1";"       0";"       1";"      13";"       0";"       1";"       2";"       .";"       .";"      72";"       .";"    5740";"    1450";"      79";"       1";"      19";"       1";"      98";"     878";"      35";"      23";"      25";"      18";"     342";"      26";"      10";"      14";"      46";"       4";"     336";"      13";"       6";"      16";"       7";"      25";"       5";"       6";"      10";"      13"
"99";"A045021";"2009JJ00";"    2880";"       3";"       6";"      17";"      22";"      13";"      11";"      28";"     409";"       .";"       1";"      94";"      16";"       1";"       0";"       0";"      16";"       0";"       0";"       8";"       .";"       .";"      67";"       .";"    5780";"    1570";"      76";"       1";"      14";"       8";"      99";"     923";"      34";"      23";"      23";"      19";"     389";"      29";"      10";"      16";"      42";"       3";"     384";"      13";"       8";"      15";"       7";"      23";"       5";"       7";"      10";"      13"
"100";"A045021";"2012JJ00";"    2770";"       4";"       4";"      19";"      20";"      12";"       9";"      32";"     425";"       .";"       2";"      91";"      14";"       0";"       0";"       0";"      14";"       0";"       0";"       4";"       .";"       .";"      64";"       .";"    5530";"    1560";"      75";"       2";"      11";"      12";"      99";"     958";"      36";"      24";"      22";"      18";"     407";"      32";"       8";"      16";"      39";"       5";"     401";"      15";"       8";"      18";"       6";"      21";"       4";"       6";"       9";"      13"
"101";"A045021";"2015JJ00";"    2635";"       4";"       3";"      16";"      16";"      13";"      10";"      38";"     468";"     246";"       0";"      90";"      20";"       2";"       0";"       0";"      19";"       0";"       0";"       6";"      94";"      80";"      74";"       9";"    5940";"    1650";"      77";"       2";"      10";"      11";"      98";"     928";"      33";"      26";"      22";"      19";"     417";"      34";"       9";"      14";"      41";"       3";"     409";"      13";"       8";"      17";"       6";"      22";"       5";"       7";"       7";"      14"
"102";"A045021";"2018JJ00";"    2515";"       2";"       5";"      15";"      17";"      16";"      12";"      33";"     463";"     234";"       2";"      89";"      20";"       1";"       0";"       1";"      17";"       0";"       0";"       7";"      94";"      78";"      73";"      11";"    5220";"    1490";"      79";"       2";"      12";"       7";"      97";"     980";"      30";"      30";"      23";"      18";"     428";"      35";"       8";"      15";"      38";"       4";"     415";"      12";"      10";"      17";"       6";"      21";"       6";"       7";"       7";"      16"
"103";"A045021";"2020JJ00";"    2485";"       3";"       4";"      16";"      19";"      15";"      11";"      32";"     448";"     216";"       2";"      89";"      15";"       1";"       0";"       0";"      14";"       0";"       0";"       5";"      93";"      77";"      68";"       9";"    4450";"    1290";"      79";"       2";"       8";"      11";"      99";"     881";"      30";"      34";"      21";"      15";"     373";"      40";"      11";"      17";"      27";"       5";"     363";"      13";"      10";"      19";"       7";"      15";"       7";"       6";"       6";"      17"
