Title,Description1,Description2,Company_name,Location,Salary_range,Date,Rating
Analyst-Supply chain management,This includes focusing on tracking business performance through trusted data and insights while actively managing employee behaviors.,,Accenture,"Chennai, Tamil Nadu
+2 locations",Full-time,"Posted
7 days ago",4.0
Senior Data Analyst - Data Engineering/Analytics,"Data experience working with complex large datasets / big data performing data analysis, data profiling, data mapping and data modeling is required.",,Exusia,"Temporarily Remote in Bengaluru, Karnataka
+1 location","₹12,55,575 - ₹28,40,135 a year","Employer
Active 3 days ago",3.4
Quality Analyst-Voice,Take corrective actions by doing data analysis to improve quality and process efficiency.,"Identify the knowledge gaps, process gaps & Language gaps and ensure…",Conneqt Business Solutions Limited,"Bengaluru, Karnataka","₹25,000 - ₹32,000 a month","Posted
5 days ago",3.6
Data Analyst,Compile and analyze data related to business issues.,Develop clear visualizations to convey complicated data in a straightforward fashion.,iSageBrum Technologies Pvt Ltd,"Ahmedabad, Gujarat","₹10,000 - ₹50,000 a month","Employer
Active 3 days ago",
Data Science Analyst,Passion for data with strong analytical mindset and focus on drilling data for commercial insight.,Need to identify relevant data sources available and pro…,Shell,"Chennai, Tamil Nadu",Full-time,"Posted
Today",3.9
Data Analyst,Data Upload in Web site.,"J P Nagar 6th Phase, J P Nagar 6th Phase - 560078, Karnataka: Reliably commute or planning to relocate before starting work (Preferred)…",Damro Furniture Private Limited,"J P Nagar 6th Phase, Karnataka","₹25,000 - ₹30,000 a month","Employer
Active 3 days ago",
Data Analyst,Proven work experience as a data analyst (Min. 1 Year).,Acquiring data from primary or secondary data sources and maintaining databases.,Arnowa,"New Delhi, Delhi","₹25,000 a month","Employer
Active 8 days ago",
International Search Quality Operations - Sr. Analyst,"Strong ability to interpret data and acquire technical skills to help develop tools, automate processes and analyze data to identify and monitor ongoing fraud…",,Indeed,"Hyderabad, Telangana","₹8,70,000 - ₹13,10,000 a year","Posted
16 days ago",4.3
Senior Business Intelligence Analyst,"5+ years of Industry experience in a report development, data science, business analytics, business intelligence or comparable data engineering role, including…",,Indeed,"Hyderabad, Telangana","₹36,00,000 - ₹54,00,000 a year","Posted
30+ days ago",4.3
Research Analyst - Industrial Goods,"As a Research Analyst within BCG’s Data and Research Service (DRS) function, you will take work on complex research projects independently within our Industrial…",,Boston Consulting Group,"Bengaluru, Karnataka",Full-time,"Posted
30+ days ago",4.2
Data Analyst - eDiscovery,Identify data subjects and locations of relevant artifacts for compliance with eDiscovery requests.,This will involve interviews with data subjects to obtain…,Giant Eagle GCC,"Bengaluru, Karnataka",Full-time,"Posted
24 days ago",
"Data Analyst, Payments, Trust and Safety",Perform statistical analysis using payments and risk data warehouse.,"Experience in analytics and/or consulting, with experience in data analysis.",Google,"Hyderabad, Telangana",Full-time,"Posted
30+ days ago",4.3
Audit and Tax Reporting Professional – Associate Analyst,Audit and Tax Reporting Professional – Associate Analyst.,The primary role of Audit and Tax Reporting Professional will be to provide Compliance support to.,Deloitte,"Hyderabad, Telangana",,"Posted
2 days ago",4.0
Environment Sustainability Data Analyst | 2 to 4 years | Mum...,"Strong numerical skills, including ability to calculate, analyze & present data.","To coordinate the collection, validation, analysis and reporting of…",Capgemini,"Mumbai, Maharashtra",,"Posted
20 days ago",3.8
Business Analyst/Data Analyst,Extensive experience with data visualization.,Excellent communicator with the ability to translate data into actionable insights.,Compunnel Inc.,"Noida, Uttar Pradesh","₹18,00,000 a year","Posted
17 days ago",3.7
Analyst / Consultant - Tax Automation and Data Management,Execute data intensive tasks and facilitate organization of data for reporting requirements.,Apply your technology skills in areas like programming applications…,Deloitte,"Gurgaon, Haryana",Full-time,"Posted
30+ days ago",4.0
"Analyst, Data Science","Build highly scalable products, maintain security of data and stability of the website/app.","In line with our Fair Pay Charter, we offer a competitive salary and…",Standard Chartered,"Chennai, Tamil Nadu",Full-time,"Posted
1 day ago",4.1
Immediate Hiring for Lead- Data Analyst (Exp:4-7yrs),Analytical skills to understand the intricacies of the data and visualization.,Basic Understanding of *Adobe Analytics (Former Site Catalyst)* or Google…,Xerago,"Chennai, Tamil Nadu","₹2,00,000 - ₹8,00,000 a year","Employer
Active 3 days ago",3.6
MIS Analyst & DATA ANALYST,He / She will be incharge all branches sales data analyzing time to time and well experienced in PPT Presentation and preparation.,,AGROTECH Integrated Farmer Producer Company...,"Chennai, Tamil Nadu","₹2,40,000 a year","Employer
Active 5 days ago",
Analyst- Financial Planning and Analysis--Global Finance,Advanced Excel skills for data analytics using pivots and data modeling; effective PowerPoint skills for creation of executive-level presentations; and familiar…,,Deloitte,"Hyderabad, Telangana",,"Posted
3 days ago",4.0
Data Analyst,Analyzing and correction of errors in ETL and data.,Consumer Goods and Building Technology.,Bosch Group,"Bengaluru, Karnataka",Full-time,"Posted
20 days ago",4.1
Data Analyst,"Provides relevant data cleaning reports, status updates, feedback on data trends throughout the study course.",Ensures that data from external databases/datasets…,GSK,"Bengaluru, Karnataka",,"Posted
1 day ago",4.1
